global_steps,train/loss,eval/loss
0,3.516710542236565,3.6391700542571285
10,2.8865423082625346,3.219949840061166
20,2.398323282753635,2.59486144513697
30,1.9781952019302056,2.2887600031774093
40,1.6217641026380196,1.7935277064653635
50,1.3218125035840016,1.6532860000213536
60,1.0943938536053526,1.5860205257930771
70,0.9342357512771757,1.400940833660091
80,0.7863349067241102,1.02247914215112
90,0.6383862493656844,0.9216842224182027
100,0.5408406007949734,0.8493472828225994
110,0.43861839592239826,0.7106446548796691
120,0.40656331751551816,0.6181299524998816
130,0.3346761050948009,0.55237997424876347
140,0.26582977775586764,0.61021887408938476
150,0.26233829426481964,0.6907587237251661
160,0.18992692078357576,0.54442794980121066
170,0.2047765583576167,0.53535379516146848
180,0.18205281003769014,0.40985756026054003
190,0.15300287125502882,0.51706105461013048
200,0.14677354019681077,0.484512198695658
210,0.1283062526050794,0.52258250291006515
220,0.11175866080980494,0.482168376442542954
230,0.09138568904069076,0.50288022013038902
240,0.09526487002125203,0.42965893915047345
250,0.11353712973764953,0.5394560150079084
260,0.07184996387407877,0.40991084439057558
270,0.07458724339789016,0.49330374254304117
280,0.0675618953918048,0.3066437613370096
290,0.09599770084865694,0.2624701624891397
300,0.07042033656259233,0.32053738187760077
310,0.06884322461515774,0.30379909442416566
320,0.0879497622026301,0.27003982142407164
330,0.09933857218155734,0.3495253974774119
340,0.058545446154739736,0.2420003435315564
350,0.055138849322589084,0.2132125216871745
360,0.08433029795168004,0.2602454895884843
370,0.05639003738340566,0.236396075830184
380,0.09487172714388172,0.26352650008394
390,0.09170400378158217,0.2446347633688025
400,0.07948683359446379,0.269165439601826
410,0.0781126561136653,0.322968821160756
420,0.06714863068654298,0.3713066297271493
430,0.09833440157046681,0.2190766906318447
440,0.09421600354380238,0.2820156703069523
450,0.07561510457352949,0.3521616335251508

