global_steps,train/loss,eval/loss
0,3.896710542236565,3.8391700542571285
10,3.1265423082625346,3.539949840061166
20,2.638323282753635,2.89686144513697
30,2.2581952019302056,2.5987600031774093
40,1.9117641026380196,2.1935277064653635
50,1.6018125035840016,1.8532860000213536
60,1.3743938536053526,1.8460205257930771
70,1.2142357512771757,1.780940833660091
80,1.0563349067241102,1.35247914215112
90,0.9783862493656844,1.2916842224182027
100,0.8208406007949734,1.1593472828225994
110,0.7586183959223982,1.0906446548796691
120,0.7265633175155182,0.9681299524998816
130,0.6346761050948009,0.8223799742487635
140,0.5158297777558677,0.9702188740893847
150,0.5223382942648196,0.9207587237251661
160,0.43992692078357576,0.8744279498012107
170,0.5847765583576167,0.8393537951614685
180,0.45205281003769014,0.7298575602605401
190,0.4330028712550288,0.8770610546101305
200,0.41677354019681077,0.794512198695658
210,0.4283062526050794,0.8925825029100652
220,0.41175866080980494,0.702168376442543
230,0.42138568904069076,0.882880220130389
240,0.39526487002125203,0.7396589391504734
250,0.40353712973764953,0.8894560150079084
260,0.37184996387407877,0.7199108443905756
270,0.38458724339789016,0.7833037425430411
280,0.3675618953918048,0.6666437613370096
290,0.38599770084865694,0.5524701624891397
300,0.38042033656259233,0.6105373818776008
310,0.37884322461515774,0.6937990944241657
320,0.3979497622026301,0.5900398214240717
330,0.38933857218155734,0.6995253974774119
340,0.36854544615473973,0.5220003435315564
350,0.35513884932258984,0.5032125216871745
360,0.37433029795168004,0.5102454895884843
370,0.3639003738340566,0.526396075830184
380,0.3848717271438817,0.58352650008394
390,0.39170400378158217,0.5246347633688025
400,0.3794868335944638,0.599165439601826
410,0.3281126561136653,0.632968821160756
420,0.34714863068654298,0.6113066297271493
430,0.3883344015704668,0.5290766906318447
440,0.39421600354380238,0.5020156703069523
450,0.3756151045735295,0.6421616335251508
