global_steps,train/loss,eval/loss
0,4.10657828171426,4.242897556420897
10,3.88870704543615,3.996604561257735
20,3.98094650183393,3.691203205668024
30,2.6618379582510047,3.2567787063311935
40,2.401822652426811,3.1727798408407063
50,2.302094363328941,2.847712019256139
60,2.3123874101408138,2.60761738503703
70,2.2203368312344647,2.5716677702335614
80,2.0643000110799603,2.2747155025679677
90,1.9707092676657617,2.316850118524432
100,1.8246005817195278,1.9823689808236209
110,1.732181377184989,1.8996546992796036
120,1.6200971141879791,1.9915832764346446
130,1.510581626635873,1.7127457808113705
140,1.442436991456454,1.6631818693337673
150,1.2897429705171039,1.7604037256084572
160,1.2907141874115033,1.5729355312141191
170,1.1895222813540713,1.601470212722547
180,1.1653244707560743,1.733149759299242
190,1.0808538851293902,1.6515079427500268
200,1.0531023316742264,1.8968172514426536
210,1.0176190892025907,1.7590031930279834
220,1.018779476495752,1.8132886943755044
230,1.0311505906720137,1.873303269080985
240,1.0336639920048039,1.7201706826696181
250,1.0368332290181516,1.7066143654472134
260,1.0471790873893819,1.6424268824697816
270,1.0628758485375725,1.7333657763995363
280,1.0567721705647528,1.5754733078099094
290,1.0665794147871184,1.640199003427402
300,0.9880899246768882,1.715380038749165
310,0.9722480464627573,1.6114386262956853
320,1.0181245321795121,1.7545793619009371
330,0.9727579793067849,1.6801139756647058
340,0.9743171314436403,1.7307797175652656
350,1.0154286944603735,1.6693167444148858
360,1.1027868713875388,1.5130788536154892
370,1.0329342695614977,1.659579404439746
380,1.0982410713389937,1.7229702075427043
390,1.0517061240307642,1.7710806052813318
400,0.9804273627046213,1.6556817477195988
410,1.0455797762902655,1.6977203277808319
420,1.0686421687347956,1.6781940641834613
430,1.0932090070365077,1.5616554196583225
440,1.0125335164489803,1.5042819896666534
450,0.9240408809914192,1.4682357304787354
